Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 4/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,004,Pe Activities,Lon Rork,67950,,1,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,005,Pe Activities,Lon Rork,67953,,6,,,,,,,,,,,,,30,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,006,Pe Activities,Vishnupriya Shah,67956,,3,,,,,,,,,,,,,20,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,007,Pe Activities,Vishnupriya Shah,67959,,7,,,,,,,,,,,,,19,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,008,Pe Activities,Jason Britton,67962,,1,,,,,,,,,,,1,,18,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,009,Pe Activities,Jason Britton,67965,,4,,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,010,Pe Activities,Toni Mar,67968,,5,,,3,,,,,,,,,,23,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,011,Pe Activities,Toni Mar,67971,,6,1,,1,,,1,,,,,,,31,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,012,Pe Activities,Toni Mar,67974,,2,3,,1,,,,,,,,,,33,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,013,Pe Activities,Toni Mar,67977,,5,1,,2,,,,,,,,,,25,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,014,Pe Activities,Russell Ahn,67980,,3,,,2,,,,,,,,,,12,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,015,Pe Activities,Richard Morris,67983,2,3,,1,,,,,,,,,,,23,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,016,Pe Activities,Richard Morris,67986,1,3,,1,,,1,,,,,,,,19,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,017,Pe Activities,Lon Rork,67989,,4,,,,1,,,,,,,,,22,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,2,018,Pe Activities,William Caraway,67992,,1,,,1,,,,,,,,,,27,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,001,Pe Activities,Elmar Stefke,67995,,,1,,,1,,1,,,,,,,15,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,002,Pe Activities,Elmar Stefke,67998,,1,1,,,,,,,,,,,,14,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,003,Pe Activities,Elmar Stefke,68001,,1,,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,004,Pe Activities,Lon Rork,68004,,3,,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,005,Pe Activities,Lon Rork,68007,,3,,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,006,Pe Activities,Susanna Li-Jue,68010,,1,1,,,,,,,,,,,,20,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,009,Pe Activities,Toni Mar,68019,,7,,,2,,,1,,,,,,,22,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,010,Pe Activities,Richard Morris,68022,,6,,1,,,,,,,,,1,,24,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,011,Pe Activities,Lon Rork,68025,,3,,,,,,,,,,,,,20,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,012,Pe Activities,Lon Rork,68028,,5,,,,,,,,,,,,,25,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,3,013,Pe Activities,William Caraway,68031,,2,,,1,,1,,,,,,,,26,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,001,Pe Activities,Elmar Stefke,68034,,,,,,,1,,,,,,,,17,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,002,Pe Activities,Elmar Stefke,68037,,,,,,,1,,,,,,,,24,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,003,Pe Activities,Elmar Stefke,68040,,,,,,,,,1,,,,,,15,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,004,Pe Activities,Lon Rork,68043,,5,,,1,,,,,,,,,,24,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,005,Pe Activities,Richard Morris,68046,,5,,1,,,,,,,,,,,16,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,006,Pe Activities,Lon Rork,68049,,5,1,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,4,007,Pe Activities,William Caraway,68052,,5,,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,5,001,Pe Activities,William Caraway,68055,,1,,2,,,,,,,,,,,16,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,005,Pe Activities,M. Scott; Michael Teti,68070,,,,,,,,,,,,,,,52,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,006,Pe Activities,M. Scott; Michael Teti,68073,,,,,,,,,,,,,,,52,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,007,Pe Activities,Daniel Dykes; M. Scott,68076,,,,,,,,,,,,,,,131,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,008,Pe Activities,Daniel Dykes; M. Scott,68079,,,,,,,,,,,,,,,131,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,011,Pe Activities,Brett Mcclure; M. Scott,68088,,,,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,012,Pe Activities,Brett Mcclure; M. Scott,68091,,,,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,013,Pe Activities,Kevin Grimes; M. Scott,68094,,,,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,014,Pe Activities,Kevin Grimes; M. Scott,68097,,,,,,,,,,,,,,,21,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,015,Pe Activities,Danna Durante; M. Scott,68100,,,,,,,,,,,,,,,27,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,016,Pe Activities,Danna Durante; M. Scott,68103,,,,,,,,,,,,,,,27,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,019,Pe Activities,Anthony Sandoval; M. Scott,68112,,,,,,,,,,,,,,,47,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,020,Pe Activities,Anthony Sandoval; M. Scott,68115,,,,,,,,,,,,,,,46,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,021,Pe Activities,Kirk Everist; M. Scott,68118,,,,,,,,,,,,,,,31,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,022,Pe Activities,Kirk Everist; M. Scott,68121,,,,,,,,,,,,,,,30,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,023,Pe Activities,M. Scott; Mike Blasquez,68124,,,,,,,,,,,,,,,408,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,11,024,Pe Activities,M. Scott; Mike Blasquez,68127,,,,,,,,,,,,,,,407,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,003,Pe Activities,Emiliano Acosta; M. Scott,68136,,,,,,,,,,,,,,,48,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,004,Pe Activities,Emiliano Acosta; M. Scott,68139,,,,,,,,,,,,,,,46,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,011,Pe Activities,Brooke Eubanks; M. Scott,68160,,,,,,,,,,,,,,,26,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,012,Pe Activities,Brooke Eubanks; M. Scott,68163,,,,,,,,,,,,,,,26,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,013,Pe Activities,M. Scott; Neil Mcguire,68166,,,,,,,,,,,,,,,23,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,014,Pe Activities,M. Scott; Neil Mcguire,68169,,,,,,,,,,,,,,,23,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,021,Pe Activities,Anthony Sandoval; M. Scott,68190,,,,,,,,,,,,,,,36,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,022,Pe Activities,Anthony Sandoval; M. Scott,68193,,,,,,,,,,,,,,,37,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,027,Pe Activities,M. Scott; Mike Blasquez,68208,,,,,,,,,,,,,,,286,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,12,028,Pe Activities,M. Scott; Mike Blasquez,68211,,,,,,,,,,,,,,,284,,,,,,,,
2015 Fall,Physical Education,PHYS ED,Physical Education,32,001,Fitness: Phs Ada/Ex,Sue Johannessen,68214,,21,5,5,11,,2,1,,,,,,,64,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7A,001,Scient Engin Phys,Adrian Lee,68403,7,6,8,9,11,10,7,7,2,,,,,2,70,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7A,002,Scient Engin Phys,Ahmet Yildiz,68454,11,17,23,27,23,14,11,5,6,,3,,3,,147,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7A,003,Scient Engin Phys,Adrian Lee,68523,12,14,14,21,21,21,14,12,2,,,,,2,137,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,H7A,001,Scient Engin Phys,Gabriel Orebi Gann,68586,2,9,4,5,11,5,5,4,2,,1,,,,50,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7B,001,Scient Engin Phys,Alex Frano Pereira; Robert Birgeneau,68613,20,20,21,20,21,20,23,21,22,,8,,4,1,201,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7B,002,Scient Engin Phys,Alessandra Lanzara,68682,15,10,8,8,9,12,9,16,11,,3,,3,,109,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7B,003,Scient Engin Phys,Alessandra Lanzara,68745,18,24,22,12,26,23,17,29,14,,6,,5,3,205,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,H7B,001,Scient Engin Phys,Lukman Winoto,68820,4,8,6,3,2,,,,,,,,,,23,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,7C,001,Scient Engin Phys,Achilles Speliotopoulos,68829,2,7,7,7,6,7,7,5,4,,,,2,2,57,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,H7C,001,Scient Engin Phys,Mina Aganagic,68856,3,9,3,6,9,7,2,4,2,,1,,,,48,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,8A,001,Intro Physics,Steven Stahler,68877,17,30,19,32,43,16,16,19,4,,5,,3,,224,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,8A,002,Intro Physics,Achilles Speliotopoulos,68970,24,36,22,39,53,21,25,28,11,,,,7,2,279,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,8B,001,Intro Physics,Catherine Bordel,69093,1,16,18,10,16,18,10,8,7,,,,4,1,111,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,8B,002,Intro Physics,Catherine Bordel,69144,3,40,42,25,43,44,18,32,12,,,,9,,271,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,C10,001,Descriptive Intro,Yury Kolomensky,69237,4,38,7,6,14,5,11,1,3,,5,,,,119,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,89,001,Intro To Math Phys,Ori Ganor,69312,2,4,2,1,1,,1,1,,,,,,,12,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,98,005,Directed Group Stdy,Joel Fajans,70227,,,,,,,,,,,,,,,26,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,98BC,001,Directed Group Stud,Arielle Little; Bernard Sadoulet,69321,,,,,,,,,,,,,,,19,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,98BC,002,Directed Group Stud,Bernard Sadoulet; Jesse Livezey,69324,,,,,,,,,,,,,,,19,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,98BC,004,Directed Group Stud,Bernard Sadoulet; Mudassir Moosa,69330,,,,,,,,,,,,,,,16,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,105,001,Analytic Mechanics,Matthias Reinsch,69354,2,3,2,2,4,1,2,,2,,,,1,,19,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,105,002,Analytic Mechanics,Matthias Reinsch,69363,,7,4,2,7,3,1,3,2,,1,,3,2,36,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,110A,001,Electromagnet Optic,Andrew Charman,69372,,4,2,6,5,3,1,1,1,,,,3,,28,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,110A,002,Electromagnet Optic,Zi Qiu,69381,6,9,7,2,9,7,,6,7,,2,,,1,57,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,110B,001,Electromagnet Optic,Joseph Orenstein,69390,3,10,7,4,4,3,3,2,,,,,2,1,39,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,111A,001,Instrumentation Lab,Dylan Rees; Joel Fajans; Joseph Broz; Juan Camilo Buitrago Casas; Samuel Ciocys; William Tokumaru; Xiaofei Zhou,69399,12,15,9,13,8,6,1,5,,,,,1,,71,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,111B,001,Adv Exp Lab,Hartmut Haeffner; Jeffrey Prouty; Jeremy Axelrod; Samantha Dixon; William Holzapfel,69407,3,19,5,2,12,2,1,4,1,,,,,,49,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,112,001,Stat Thermal Phys,Jeffrey Neaton,69408,3,5,8,6,5,6,3,2,2,,,,,,41,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,112,002,Stat Thermal Phys,Zi Qiu,69417,7,10,7,7,9,7,,6,,,2,,,,55,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,129,001,Particle Physics,Lawrence Hall,69426,4,5,8,9,2,1,1,1,2,,,,,1,40,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,137A,001,Quantum Mechanics,Austin Hedeman,69435,,7,4,4,4,4,6,4,,,,,2,,36,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,137A,002,Quantum Mechanics,Holger Mueller,69444,6,11,9,2,9,9,5,,,,1,,,1,55,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,137A,003,Quantum Mechanics,Irfan Siddiqi,69453,5,8,3,12,8,5,1,3,1,,2,,1,1,51,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,137B,001,Quantum Mechanics,Raphael Bousso,69462,4,9,3,2,9,4,,8,,,3,,3,,46,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,137B,002,Quantum Mechanics,Michael Crommie,69471,1,13,5,5,14,1,2,9,2,,,,1,,56,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,141A,001,Solid State Physics,James Analitis,69480,2,6,10,5,6,,2,2,1,,1,,1,1,41,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,198,005,Directed Group Stdy,Joel Fajans,70224,,,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Physics,PHYSICS,Physics,198BC,002,Directed Group Stud,Bernard Sadoulet; Jesse Livezey,69579,,,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,10,001,"Plants, Agri & Soc",Brian Staskawicz; David Zilberman,70303,6,15,7,10,7,2,3,5,3,,1,,3,,91,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,20,001,Intro To Plant Sci,Lewis Feldman,70312,,,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,98,002,Directed Group Stdy,Skylar Kim; Zinmay Sung,70327,,,,,,,,,,,,,,,10,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,C107L,001,Plant Morphol W Lab,Chelsea Specht,70465,1,1,,3,3,,,2,,,,,,,10,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,C112,001,Gen Microbiology,Kathleen Ryan,70486,,3,3,9,9,3,10,2,5,2,,1,4,,53,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,C112L,001,Microbiology Lab,Arash Komeili; Carly Weiss; Elias Cornejo Warner,70507,,1,4,,1,3,1,,,,,,,,10,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,C112L,002,Microbiology Lab,Arash Komeili; Carly Weiss; Elias Cornejo Warner,70510,,1,1,3,4,3,3,1,,,,,,,16,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,113,001,California Mushroom,Sydney Glassman; Thomas Bruns; Vincent Wei-Xiang Wu,70516,5,9,,3,3,1,,,,,,,,,25,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,113,002,California Mushroom,Sydney Glassman; Thomas Bruns; Vincent Wei-Xiang Wu,70519,1,6,3,2,6,1,1,1,,,,,,,22,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,C116,001,Microbial Diversity,John Coates,70525,1,6,1,4,6,1,,1,1,,1,,,1,23,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,C124,001,Energy From Biomass,Wenjun Zhang,70531,,1,2,5,2,1,,,,,,,,,11,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,135,001,Physiol Biochem Pl,Anastasios Melis; Norman Terry,70534,8,9,12,5,3,4,3,,1,,,,1,,47,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,150,001,Plant Cell Biology,Peter Quail; Sheng Luan,70537,2,8,8,6,6,4,3,2,,,2,,,3,44,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,180,001,Envir Plant Biology,Norman Terry,70543,4,13,5,6,4,4,1,1,,,,,,,46,,,,,,,,
2015 Fall,Plant & Microbial Biology,PLANTBI,Plant Biology,198,002,Directed Group Stdy,Skylar Kim; Zinmay Sung,70681,,,,,,,,,,,,,,,10,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,1,001,Intro American Pol,Jacob Citrin,71403,3,34,65,46,53,28,21,6,3,2,1,1,5,1,311,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,2,001,Intro Comparat Pol,Adnan Naseemullah,73203,,7,32,7,1,,,,,,,,1,,51,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,3,001,Empirical Analysis,Jason Wittenberg,71448,1,22,50,50,50,31,23,17,4,6,8,3,5,,277,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,5,001,Intro To Intern Rel,Amy Gurowitz,71493,,51,88,77,69,26,4,4,,1,,,1,,362,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,98,004,Directed Group Stdy,Darren Zook; Nicholas Clothier,71540,,,,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,106A,001,Camp Strat/Media,Daniel Schnur,71550,,14,10,12,9,,,1,,,1,,,5,53,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,112B,001,Hist Pol Theory,Kinch Hoekstra,71562,,6,26,23,24,13,7,5,2,,1,,1,1,110,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,123H,001,Topics Intntl Rel,Ron Hassner,71622,5,29,15,12,13,8,4,5,1,,,1,4,2,103,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,124M,001,Sci Stdy Of Intl Co,Michaela Mattes,71702,,8,11,8,13,1,,3,,1,1,,,1,48,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,C135,001,Game Theory Soc Sci,Robert Powell,71712,,9,3,8,5,5,2,7,5,,2,,2,,66,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,138E,001,Varieties Of Capita,Steven Vogel,71745,,14,31,38,27,21,7,1,2,1,,,2,1,146,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,143A,001,Politics Ne Asia,Lowell Dittmer,71760,,4,8,2,14,5,3,2,,1,,,2,,47,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,143B,001,Japanese Politics,T J Pempel,71769,2,24,21,6,12,9,7,6,2,1,1,1,4,,102,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,143C,001,Chinese Politics,Peter Lorentzen,71789,3,6,19,15,5,4,1,2,,,,,,1,56,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,146A,001,African Politics,Leonardo Arriola,71814,,39,13,11,16,5,2,4,1,3,1,,3,3,104,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,147F,001,Contemp French Pol,Jonah Levy,71829,,15,5,3,4,9,2,8,4,,2,2,1,,56,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,149E,001,Topics In Area Stdy,Darren Zook,71859,,45,42,38,14,3,,,,,,,,1,148,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,150,001,Amer Legal System,Sean Farhang,71871,4,14,16,4,9,2,1,1,,,,,,,51,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,164A,001,Pol Psych Involv,Laura Stoker,71900,6,45,22,22,29,14,6,7,3,,3,,1,2,162,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,167AC,001,Racial Ethnic Pol,Taeku Lee,71916,16,19,8,4,2,,1,,,,1,,,3,55,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,171,001,California Politics,Edward Lempert,71925,,19,5,4,16,2,1,2,2,,,1,2,1,55,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,179,001,Colloq On Pol Sci,Alan Ross,71934,,,,,,,,,,,,,,,557,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,181,001,Pub Organ Admin,Christopher Ansell,71937,,11,24,17,4,1,1,1,,,,,,1,60,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,191,002,Junior Seminar,Helene Silverberg,71955,,2,1,4,6,1,1,,,,,,,,15,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,191,003,Junior Seminar,Helene Silverberg,71958,,5,2,2,3,4,,,,,,,,,17,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,191,004,Junior Seminar,Rodney Hero,71961,,2,4,5,,1,,,1,,,,,,13,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,191,006,Junior Seminar,Lowell Dittmer,73221,,5,4,2,,,,,,,,,,,12,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,C196W,001,Special Research,Michael Austin,72003,,7,3,1,1,,,,,,,,,,12,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,198,003,Directed Group Stdy,Chaddy Georges; Terri Bimes,72036,,,,,,,,,,,,,,,19,,,,,,,,
2015 Fall,Political Science,POL SCI,Political Science,198,004,Directed Group Stdy,Darren Zook; Nicholas Clothier,72038,,,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,1,001,General Psychology,Christopher Gade,73503,21,90,86,51,68,28,30,14,13,6,9,3,8,,474,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,W1,001,General Psychology,Christopher Gade,73596,,3,8,11,10,7,16,11,3,,3,,5,,113,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,2,001,Principles Of Psych,Frederic Theunissen; Kimberly Russo,73599,43,85,28,6,5,3,1,1,,,,,3,,182,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,10,001,Res & Data Anal,Arman Catterson,73605,25,22,15,7,4,,1,,1,,,,1,1,78,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,C19,001,Drugs And The Brain,David Presti,73638,4,12,15,17,22,10,3,11,2,,2,,2,,151,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,C64,001,Exploring The Brain,Natalia Caporale,73716,2,13,18,8,17,14,4,9,4,1,2,1,8,2,116,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,98,008,Superv Group Study,Ozlem Ayduk,73764,,,,,,,,,,,,,,,118,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,101,001,Res & Data Anal,Arman Catterson,73842,42,25,21,9,9,,1,1,1,1,1,,7,3,121,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,102,001,Research Stats,Frederic Theunissen,73875,5,14,4,4,4,5,2,,1,,1,,1,4,53,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,110,001,Introd Biol Psych,Jonathan Wallis,73884,9,14,15,8,18,13,9,10,7,4,7,7,7,3,145,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,C120,001,Issues In Cognition,Jennifer Dorfman,73938,3,19,8,10,13,6,3,1,2,2,3,,,,73,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,C127,001,Cognitive Neurosci,Jack Gallant,73956,,3,9,9,16,6,3,,,,,,2,,73,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,130,001,Clinical Psychology,Sheri Johnson,73986,4,15,33,37,26,17,11,14,4,4,4,,3,1,187,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,131,001,Dev Psychopathology,Qing Zhou,74016,16,46,35,,9,,,13,,,1,,1,2,131,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,133,001,Psychology Of Sleep,Matthew Walker,74036,1,138,115,20,7,3,1,,2,,1,,,,299,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,134,001,Health Psychology,Aaron Fisher,74037,6,71,21,13,11,5,2,,1,,1,,1,,134,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,140,001,Development Psych,Fei Xu,74067,1,30,45,23,34,12,10,10,5,,,,2,1,183,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,160,001,Social Psychology,Serena Chen,74145,31,71,42,43,31,18,11,10,8,6,1,1,4,,312,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,164,001,Social Cognition,John Kihlstrom,74184,,53,15,13,18,10,8,22,,,3,,,,153,,,,,,,,
2015 Fall,Psychology,PSYCH,Psychology,167AC,001,Stigma,Rodolfo Mendoza-Denton,74187,28,63,49,27,31,13,12,6,2,1,,,3,1,291,,,,,,,,
