Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04399,3,12,1,,,,,,,,,,,,,,,,16
2014 Spring,Art Practice,ART,Art Practice,123,001,Screenprinting,Randy Hussong,04402,,13,3,,,1,,,,,,,,1,,,,,18
2014 Spring,Art Practice,ART,Art Practice,130,001,Concept/Construct,Stephanie Syjuco,04405,,7,3,1,1,3,,,,,,,,2,,,,,17
2014 Spring,Art Practice,ART,Art Practice,141,001,Temporal Structures,Lucy Raven,04411,,2,4,2,2,,,,,,,,,,,,,,10
2014 Spring,Art Practice,ART,Art Practice,160,003,Spec Topics Vis Std,Elise Putnam,04414,2,4,4,1,,,,,,,,,,,,,,,11
2014 Spring,Art Practice,ART,Art Practice,160,004,Spec Topics Vis Std,Azin Seraj,04417,3,6,2,1,,1,,,,,,,,,,,,,13
2014 Spring,Art Practice,ART,Art Practice,165,001,"Art,Med & Disabil",Katherine Sherwood,04420,2,15,4,4,1,1,,,,,,,,,,,,2,29
2014 Spring,Art Practice,ART,Art Practice,178,001,Game Design Methods,Greg Niemeyer,04430,2,15,1,,5,,,,,,,,,1,1,,,,25
2014 Spring,Art Practice,ART,Art Practice,180,001,Advanced Digital Ph,Allan Desouza,04431,,14,5,1,,,,,,,,,,,,,,,20
2014 Spring,Art Practice,ART,Art Practice,185,001,Sn Projects,Daniel Nevers,04432,,5,5,2,3,2,,,,,,,,,,,,,17
2014 Spring,Art Practice,ART,Art Practice,185,102,Sn Projects,Katherine Sherwood,04435,,10,9,,,1,,2,,,,,,,,,,,22
2014 Spring,Astronomy,ASTRON,Astronomy,3,001,Modern Cosmology,Leo Blitz,05903,1,5,1,2,1,2,4,,,,,,3,8,,2,,,29
2014 Spring,Astronomy,ASTRON,Astronomy,7B,001,Intro Astrophysics,Eugene Chiang,05906,4,5,,9,6,3,1,4,2,,,,1,2,,,,,37
2014 Spring,Astronomy,ASTRON,Astronomy,C10,001,General Astronomy,Alexei Filippenko,05915,35,82,58,36,54,19,19,11,1,1,3,4,6,214,1,33,,,577
2014 Spring,Astronomy,ASTRON,Astronomy,98,001,Directed Group Stdy,James Graham,05999,,,,,,,,,,,,,,14,,1,,,15
2014 Spring,Astronomy,ASTRON,Astronomy,121,001,Radio Astronomy Lab,Aaron Parsons,06017,3,,3,3,3,1,,2,,,,,,,,,,2,17
2014 Spring,Astronomy,ASTRON,Astronomy,C161,001,Rela Astro & Cosmo,Marc Davis,06020,4,12,2,1,,1,,,,,,,,,,,,,20
2014 Spring,Astronomy,ASTRON,Astronomy,C162,001,Planetary Astrophys,Raymond Jeanloz,06029,1,9,1,3,1,1,,1,1,,,,,,,,,,18
2014 Spring,Bioengineering,BIO ENG,Bioengineering,25,001,Careers In Biotech,Hayley Lam,06353,,,,,,,,,,,,,,202,,13,,,215
2014 Spring,Bioengineering,BIO ENG,Bioengineering,101,001,Instr Biology Med,Steven Conolly,06524,4,8,4,4,1,3,1,,,,1,,,,,,,,26
2014 Spring,Bioengineering,BIO ENG,Bioengineering,104,001,Bio Trans Phen,Terry Johnson,06536,4,26,24,6,21,10,2,1,1,,1,,,,,,,1,97
2014 Spring,Bioengineering,BIO ENG,Bioengineering,111,001,Func Bio Dev & Char,Seung-Wuk Lee,06563,6,7,,5,4,,1,,,,,,,,,,,,23
2014 Spring,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06575,2,23,4,2,,,,,,,,,,,,,,,31
2014 Spring,Bioengineering,BIO ENG,Bioengineering,116,001,Cell And Tissue Eng,Song Li,06584,3,10,17,16,14,4,5,,,,,,,,,,,,69
2014 Spring,Bioengineering,BIO ENG,Bioengineering,121L,001,Biomems Bionano Lab,Byungrae Cho; Luke Lee,06593,1,12,1,,,,,,,,,,,,,,,,14
2014 Spring,Bioengineering,BIO ENG,Bioengineering,140L,001,Synth Bio Lab,JOHN ANDERSON,06611,,6,3,2,2,1,,1,2,,,,,1,,,,,18
2014 Spring,Bioengineering,BIO ENG,Bioengineering,C144,001,Intro To Pro Infor,Kimmen Sjolander,06617,,2,4,4,15,1,1,1,,1,,,2,1,,,,,32
2014 Spring,Bioengineering,BIO ENG,Bioengineering,C144L,001,Protein Infomat Lab,Kimmen Sjolander,06623,2,1,2,1,4,4,1,,,,,,,1,,,,,16
2014 Spring,Bioengineering,BIO ENG,Bioengineering,C144L,002,Protein Infomat Lab,Kimmen Sjolander,06626,,3,3,1,3,2,1,,,,,,2,,,,,,15
2014 Spring,Bioengineering,BIO ENG,Bioengineering,148,001,Bio Chem Syn Bio,John Dueber,06628,1,7,8,11,7,,2,1,,,,,,,,,,,37
2014 Spring,Bioengineering,BIO ENG,Bioengineering,151,001,Micro/Nano Bioe,Amy Herr,06629,1,6,1,,1,,,3,,,1,,,1,,,,,14
2014 Spring,Bioengineering,BIO ENG,Bioengineering,163,001,Prin Of Molec & Cel,Gerard Marriott,06635,6,13,11,3,2,1,,,,,,,,,,,,,36
