Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,C,Letter Grade,C+,Intro American Stdy
1,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,C,Letter Grade,C,Intro American Stdy
1,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,F,Letter Grade,F,Intro American Stdy
5,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,Credit,Non-Letter Grade,Pass,Intro American Stdy
3,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,A,Letter Grade,A+,Intro American Stdy
15,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,A,Letter Grade,A,Intro American Stdy
5,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,A,Letter Grade,A-,Intro American Stdy
11,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,B,Letter Grade,B+,Intro American Stdy
1,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,C,Letter Grade,C+,Intro American Stdy
2,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,Credit,Non-Letter Grade,Pass,Intro American Stdy
1,26583,,26583,,26583,Alexander Craghead,,American Studies,10,002,No Credit,Non-Letter Grade,Not Pass,Intro American Stdy
11,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,A,Letter Grade,A,Us Cultures In Time
11,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,A,Letter Grade,A-,Us Cultures In Time
14,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,B,Letter Grade,B+,Us Cultures In Time
6,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,B,Letter Grade,B,Us Cultures In Time
4,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,B,Letter Grade,B-,Us Cultures In Time
3,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,C,Letter Grade,C+,Us Cultures In Time
5,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,Credit,Non-Letter Grade,Pass,Us Cultures In Time
1,25668,,25668,,25668,Sarah Gold Mcbride,,American Studies,101,001,No Credit,Non-Letter Grade,Not Pass,Us Cultures In Time
3,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,A,Letter Grade,A+,Us Cultures In Time
14,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,A,Letter Grade,A,Us Cultures In Time
9,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,A,Letter Grade,A-,Us Cultures In Time
2,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,B,Letter Grade,B+,Us Cultures In Time
6,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,B,Letter Grade,B,Us Cultures In Time
6,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,B,Letter Grade,B-,Us Cultures In Time
1,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,C,Letter Grade,C+,Us Cultures In Time
1,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,C,Letter Grade,C-,Us Cultures In Time
1,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,F,Letter Grade,F,Us Cultures In Time
6,25669,,25669,,25669,Christine Palmer,,American Studies,101,002,Credit,Non-Letter Grade,Pass,Us Cultures In Time
14,31100,,31100,,31100,David Miller,,American Studies,101,003,A,Letter Grade,A,Us Cultures In Time
5,31100,,31100,,31100,David Miller,,American Studies,101,003,A,Letter Grade,A-,Us Cultures In Time
1,31100,,31100,,31100,David Miller,,American Studies,101,003,B,Letter Grade,B+,Us Cultures In Time
1,31100,,31100,,31100,David Miller,,American Studies,101,003,B,Letter Grade,B,Us Cultures In Time
1,31100,,31100,,31100,David Miller,,American Studies,101,003,B,Letter Grade,B-,Us Cultures In Time
1,31100,,31100,,31100,David Miller,,American Studies,101,003,Credit,Non-Letter Grade,Pass,Us Cultures In Time
1,31100,,31100,,31100,David Miller,,American Studies,101,003,Credit,Non-Letter Grade,Satisfactory,Us Cultures In Time
23,23970,,23970,,23970,Michael Cohen,,American Studies,102,002,A,Letter Grade,A,Us Cultures/Place
12,23970,,23970,,23970,Michael Cohen,,American Studies,102,002,A,Letter Grade,A-,Us Cultures/Place
8,23970,,23970,,23970,Michael Cohen,,American Studies,102,002,B,Letter Grade,B+,Us Cultures/Place
2,23970,,23970,,23970,Michael Cohen,,American Studies,102,002,B,Letter Grade,B,Us Cultures/Place
5,23970,,23970,,23970,Michael Cohen,,American Studies,102,002,Credit,Non-Letter Grade,Pass,Us Cultures/Place
